Project Name,Technology Type,Technology Type Category 1,Technology Type Category 2,Rated Power in kW,Duration,Status,Service/Use Case 1,Service/Use Case 2,Service/Use Case 3,Service/Use Case 4,Service/Use Case 5,Service/Use Case 6,Service/Use Case 7,Service/Use Case 8,Service/Use Case 9,Service/Use Case 10,Service/Use Case 11,Service/Use Case 12,Latitude,Longitude,City,State/Province,Country,Street Address,Zip/Mail Code,Description,Web Link 1,Announcement Date,Construction Date,Commissioning Date,Decommissioning Date,ISO/RTO,Utility,Utility Type,Grid Interconnection,Paired Grid Resource,Ownership Model,Equity Owner 1,Equity Owner 1 Percentage,Equity Owner 2,Equity Owner 2 Percentage,Energy Storage Technology Provider,Power Electronics Provider,Integrator Company,O&M Contractor,Developer,EPC 1,EPC 2,EPC 3,Debt Provider,Projected Project Lifetime years,Performance,Capital Expenditure $ ,Operating Expense $/kWh Capacity/Year,Funding Source 1,Funding Source Details 1,Funding Amount 1,Funding Source 2,Funding Source Details 2,Funding Amount 2,Funding Source 3,Funding Source Details 3,Funding Amount 3,Research Institution,Research Description,Research Institution Link,Contact Name,Contact Email,Contact Phone,Contact Street Address,Contact City,Contact State/Province,Contact Zip/Mail Code,Contact Country,Record Created,Last Updated,Black Start,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Load Following (Tertiary Balancing),Ramping ,Voltage Support,Electric Energy Time Shift,Electric Supply Capacity,Transmission Congestion Relief,Transmission Support,Renewables Capacity Firming,Distribution upgrade due to solar,Distribution upgrade due to wind,Transmission upgrades due to solar,Transmission upgrades due to wind,Electric Bill Management,Grid-Connected Commercial (Reliability & Quality) ,Grid-Connected Residential (Reliability),Frequency Regulation,Transportable Transmission/Distribution Upgrade Deferral,Stationary Transmission/Distribution Upgrade Deferral,Onsite Renewable Generation Shifting,Electric Bill Management with Renewables,Renewables Energy Time Shift,On-Site Power,Transportation Services,Microgrid Capability,Resiliency,Demand Response
PNM Prosperity Energy Storage Project,Lead-acid Battery,Lead-acid Battery,Electro-chemical,500,4.0,Operational,Renewables Capacity Firming,Stationary Transmission/Distribution Upgrade Deferral,Voltage Support,,,,,,,,,,35,"September 15, 1899",Albuquerque,New Mexico,United States,5700 W University Blvd SE ,,"The Public Service Company of New Mexico (PNM) demonstration project installed an energy storage system composed of two elements: a 0.5MW Smoothing Battery utilizing Ultra Batteries and a 0.25MW/0.99MWhr Peak Shifting Battery utilizing Advanced Lead Acid Batteries, both manufactured by Ecoult/East Penn Manufacturing. These two systems combined with a single 0.75MW Power Conditioning System, are co-located with a separately installed 500kW solar PV plant, at a utility-owned site, to create a firm, dispatchable, renewable generation resource. 

This hybrid resource provides simultaneous voltage smoothing and peak shifting through advanced control algorithms and switches between two configurations, end-of-feeder and beginning-of- feeder. The project has successfully demonstrated a variety of applications, including PV firming, peak shaving, energy arbitrage, optimized energy shifting selecting from the above application as well as simultaneously smoothing PV output. It has gathered close to 1 TB of 1 second interval data over 2 years from a variety of field points.  Its control algorithms are securely importing real time market, system and  feeder data and optimize operation of the BESS on a real time automated basis based on prioritized listing of applications. The project has also developed sophisticated dynamic modeling tools which are used to calibrate and optimize the battery system control algorithms. These models have furthered the understanding of feeders with storage and distributed generation on an industry wide basis and over 18 technical publications have stemmed from this project. The site is located in southeast Albuquerque. Results and real time data feeds are available at www.pnm.com/solarstorage
",https://www.smartgrid.gov/project/public_service_company_new_mexico_pv_plus_battery_simultaneous_voltage_smoothing_and_peak.html,DD.01.YYYY,,DD.08.YYYY,,N/A,Public Service Company of New Mexico,Investor Owned,,500 kW PV,Utility-Owned,Public Service Company of New Mexico,,,,"Ecoult, East Penn",S&C Electric Company,S&C Electric Company,,,,,,,,https://www.smartgrid.gov/sites/default/files/doc/files/FTR%20FINAL%20PNM%2027May14.pdf,6113433,,Federal/National American Recovery and Reinvestment Act of 2009 – RD&D,"US Department of Energy, Office of Electricity - ARRA Grant",2305931,,,,,,,University of New Mexico ,"Grid modeling, PV forecasting, Storage Algorithm development and calibration, storage economic evaluation",,Steve Willard (PI),steve.willard@pnmresources.com,505-241-2566,414 Silver Avenue SW,Albuquerque,New Mexico,87102-3289,United States,DD.08.YYYY 18:08:00,DD.06.YYYY 00:06:44,,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,
XCEL MinnWind Wind-to-Battery Project - NGK,Sodium-sulfur Battery,Sodium based Battery,Electro-chemical,1000,7.20,Operational,Frequency Regulation,Ramping ,Renewables Energy Time Shift,Voltage Support,,,,,,,,,44,"September 25, 1899",Luverne,Minnesota,United States,,,"In October 2008, Xcel Energy began testing a 1 MW battery-storage technology to demonstrate its ability to store wind energy and move it to the electricity grid when needed.  Xcel Energy purchased the battery from NGK Insulators Ltd. The sodium-sulfur battery is commercially available and versions of this technology are in use elsewhere in the U.S. and other parts of the world, but this is the first U.S. application of the battery as a direct wind energy storage device.  The project is being conducted in Luverne, Minnesota, about 30 miles east of Sioux Falls, South Dakota.

The battery installation is connected to a nearby 11 MW wind farm owned by Minwind Energy, LLC.   The total funding for the project was $4.6 million. The project received a $1.0 million grant from the Xcel Energy's Renewable Development Fund.  The remaining amount was funded through utility rates.",https://www.xcelenergy.com/staticfiles/xe/Corporate/Renewable%20Energy%20Grants/Milestone%206%20Final%20Report%20PUBLIC.pdf,,,DD.10.YYYY,,MISO,Xcel Energy,Investor Owned,Transmission,Wind,Utility-Owned,Xcel Energy,,,,NGK Insulators Ltd.,S&C Electric Company,S&C Electric Company,S&C Electric Company,,S&C Electric Company,,,,,"The following is a list of the general conclusions and lessons learned related to the DESS as a  whole, based on the tests conducted and the related testing conditions:   The overall efficiency of the DESS, accounting for the auxiliary energy requirements,  displayed considerable variation as a function of mode of operation, ranging from 67.6% to  78.9%.   The efficiency of the DESS, not accounting for the auxiliary energy requirements, displayed  less variation as a function of mode of operation, ranging from 85.1% to 91.6%.   The DESS never exceeded more than one discharge cycle in any 24-hour period for any  mode of operation.   The DESS mileage varied significantly depending on the mode of operation. Based on the  mileage metric, the Frequency Regulation mode of operation was the most aggressive mode  while the Economic Dispatch mode was the least aggressive.",4600000,,Private/Third Party Grant,Xcel Energy - Xcel Renewable Development Fund,1000000,Private/Third Party,,,,,,University of Minnesota and NREL,,,Frank Novachek,frank.novachek@xcelenergy.com,P: 303.294.2410 C: 303.517.6078 ,1800 Larimer Street,Denver,Colorado,80202,United States,DD.56.YYYY 19:56:05,DD.21.YYYY 20:21:26,,,,,TRUE,TRUE,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,
Battelle Memorial Institute Pacific Northwest Smart Grid Demonstration,Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,5000,0.25,Operational,Electric Energy Time Shift,Electric Supply Capacity,Microgrid Capability,Renewables Capacity Firming,Renewables Energy Time Shift,,,,,,,,45,"August 29, 1899",Salem,Oregon,United States,,,"PGE’s Salem Smart Power Center (SSPC) is an Energy Storage Facility in Salem, Oregon.  The project has a 5 MW, 1.25 MWh storage resource designed to increase distribution system reliability, aid renewable resource integration and decrease peak-price risk. The ESF is a key aspect of PGE’s Salem Smart Power project associated with the Pacific Northwest Smart Grid Demonstration Project test phase which began September, 2012. 

PGE expects demand response and utility-scale storage system use to contribute to decreases in the cost of energy: first, by shifting demand from one market-time-period to another; and finally as a renewable resource optimization technology, where the MW-scale system may be used to follow an intermittent renewable resource, such as solar or wind.  (CapEx shown below covers the entire Salem project not the energy storage facility alone)",https://www.smartgrid.gov/project/battelle_memorial_institute_pacific_northwest_division_smart_grid_demonstration_project,,DD.05.YYYY,DD.03.YYYY,,N/A,Portland General Electric,Investor Owned,,100 kW solar and dispatchable diesel generators,Utility-Owned,Portland General Electric,100,,,EnerDel,Eaton Corporation,"Eaton, PGE, and GE",,,,,,,12,,25000000,,Federal/National American Recovery and Reinvestment Act of 2009 – RD&D,US DOE - American Recovery and Reinvestment Act (ARRA),10300000,Federal/National,,,,,,"PNNL, Oregon State University, Portland State University, University of Colorado ",,,Mark Osborn ,mark.osborn@pgn.com ,503-464-8347,"121 SW Salmon, 3WTC0407 ",Portland ,Oregon ,97204 ,United States,DD.58.YYYY 21:58:11,DD.33.YYYY 23:33:37,,,,,,,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,
St. Kilian Parish and School,Ice Thermal Storage,Ice Thermal Storage,Thermal Storage,100,6.0,Operational,Electric Bill Management,Electric Energy Time Shift,Electric Supply Reserve Capacity - Non-Spinning,,,,,,,,,,41,"October 11, 1899",Cranberry Township,Pennsylvania,United States,7076 Franklin Road,16066,"Ice Storage is charged at night using low cost electricity with a smaller - right sized air cooled chiller. The stored cooling can then be discharged when cooling loads are high, electric demand is high, or in response to a demand response event. ",http://www.calmac.com/benefits/,DD.01.YYYY,DD.04.YYYY,DD.08.YYYY,,PJM,Penn Power,Investor Owned,Secondary Distribution,,Customer-Owned,Catholic Diocese of Pittsburgh,100,,,CALMAC,,,,,,,,,25,RTE 99%,,,,,,,,,,,,,,,Mr. Charles Goetz,cgoetz@saintkilian.org,724-625-1665,7076 Franklin Road,Cranberry Twp,PA,16066,United States,DD.17.YYYY 21:17:36,DD.01.YYYY 00:01:55,,TRUE,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,
Lanai Sustainability Research / La Ola PV Farm - Xtreme Power,Advanced Lead-acid Battery,Lead-acid Battery,Electro-chemical,1125,0.25,Operational,Frequency Regulation,Ramping ,Renewables Capacity Firming,,,,,,,,,,21,"July 27, 1899",Lanai,Hawaii,United States,,,"Younicos Power deployed a 1.125 MVA Dynamic Power Resource (DPR) at the Lanai Sustainability Research's 1.5 MW DC / 1.2 MW AC solar farm in order to double the output of the solar and control the ramp rate to +/- 360 kW/min.  The solar farm was previously curtailed to 600 kW, and is now operating at full capacity with the DPR.",http://energystorage.org/energy-storage/case-studies/solar-pv-storage-lanai-sustainability-research-dynamic-power-resource,DD.09.YYYY,DD.05.YYYY,DD.09.YYYY,,N/A,Hawaiian Electric Industries,,,1.2 MW La Ola PV solar farm,Customer-Owned,Castle & Cooke,100,,,Xtreme Power ,,Younicos,,,,,,,,,,,,,,,,,,,,,,,Castle & Cooke,NA,(808) 548-4811,,Lanai,Hawaii,96763,United States,DD.26.YYYY 14:26:16,DD.28.YYYY 01:28:06,,,,,TRUE,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,
Kauai Island Utility Cooperative - Xtreme Power,Advanced Lead-acid Battery,Lead-acid Battery,Electro-chemical,1500,0.25,Operational,Electric Supply Reserve Capacity - Non-Spinning,Frequency Regulation,Ramping ,Renewables Capacity Firming,Voltage Support,,,,,,,,22,"July 24, 1899",Koloa,Hawaii,United States,Koloa Substation,,"The Kaua’i Island Utility Cooperative (KIUC) Xtreme Dynamic Power Resource (DPR) is designed to mitigate the variability of a 3 MW solar PV project for KIUC, as well as provide critical grid support services for the island grid. The DPR will provide responsive reserves to the island utility and correct any frequency and voltage deviations. ",http://kauai.coopwebbuilder.com/content/press-release-kauai-island-utility-cooperative-purchases-battery-energy-storage-system,DD.01.YYYY,DD.09.YYYY,DD.12.YYYY,,N/A,Kauai Island Utility Cooperative,Cooperative (Customer Owned),,,Customer-Owned,Kaua'i Island Utility Cooperative,100,,,Xtreme Power ,Dynapower,Younicos,Younicos,,,,,,8,,2000000,,,,,,,,,,,,,,Kaua'i Island Utility Cooperative,jpcox@kiuc.coop,808.246.8205,"4463 Pahe'e Street, Suite 1",Lihu'e,Hawaii,96766-2000,United States,DD.37.YYYY 14:37:24,DD.17.YYYY 18:17:08,,TRUE,,,TRUE,TRUE,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,
Bethel Park High School,Ice Thermal Storage,Ice Thermal Storage,Thermal Storage,375,6.0,Operational,Electric Bill Management,Electric Energy Time Shift,Electric Supply Reserve Capacity - Non-Spinning,,,,,,,,,,40,"October 11, 1899",Bethel Park,Pennsylvania,United States,309 Church Road,15102,"Energy storage allows Bethel Park HS a lower connected load to the grid while allowing the cooling system to capture and store efficient low cost energy for use during high demand and high cost periods. This $73 million dollar 326,000 sq.ft. high school came in 18% under projected costs yet still earned a Green Globes Level 3 designation which is similar to LEED Gold in efficiency.  The project was designed by Weber Murphy Fox Architects, the Hayes Design Group and Tower Engineering.  

IceBank energy storage was used which allowed a reduction of the electric chiller size to almost half while  increasing efficiency and reducing operating costs. A conventional cooling design would have required 830 tons of chiller to provide cooling during peak times.  Instead 432 tons of electric cooling was installed and 2250 net usable tn hours of storage resulting in an average demand reduction of 375 kW.",http://wmf-inc.com/2012/03/bethel-park-high-school-achieves-green-globes-level-3-certification-2/,DD.02.YYYY,DD.09.YYYY,DD.01.YYYY,,PJM,West Penn Power,Investor Owned,Secondary Distribution,,Customer-Owned,Bethel Park School District,100,,,CALMAC,,,,,,,,,25,RTE 99%,,,,,,,,,,,,,,,David Disque,ddisque@massarocms.com,412-589-0139,3064 Industrial Boulevard,Bethel Park,PA,15102,United States,DD.37.YYYY 13:37:17,DD.21.YYYY 19:21:04,,TRUE,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,
Golden Valley Electric Association (GVEA) Battery Energy Storage System (BESS),Nickel-cadmium Battery,Nickel based Battery,Electro-chemical,27000,0.25,Operational,Electric Supply Reserve Capacity - Spinning,Grid-Connected Commercial (Reliability & Quality) ,Grid-Connected Residential (Reliability),Voltage Support,,,,,,,,,65,"August 5, 1899",Fairbanks,Alaska,United States,,,"Completed in December 2003, the BESS is one of GVEA's initiatives to improve the reliability of service to GVEA members. In the event of a generation or transmission related outage, it can provide 27 megawatts of power for 15 minutes. That's enough time for the co-op to start up local generation when there are problems with the Intertie or power plants in Anchorage.

One of the requirements for construction of the Intertie was a reactive power supply capable of delivering power should generation fail. At the heart of the world's most powerful energy storage battery are two core components: the Nickel-Cadmium (Ni-Cad) batteries, developed by Saft, and the converter, designed and supplied by ABB. The converter changes the batteries' DC power into AC power ready for use in GVEA's transmission system.

Awards Received:

- ABB was awarded the Platts 2003 Global Energy Award for their design and development of the BESS converter.
- The Electric Power Resarch Institue Technology Award for the BESS project at the National Rural Electric Cooperative Association Annual Meeting on February 15 2004.
- Guiness World Record certificate acknowledging that the BESS is the world's most powerful battery on December 10, 2003. During a test of its maximum limit, it discharged 46 megawatts for five minutes

Statistics:

- 13,760 liquid electrolyte-filled Ni-Cad cells
- Each battery is roughly the size of a large PC and weighs 165 pounds
- Total BESS weight - 1,500 tons
- Batteries have an anticipated life of 20-30 years 
- Can be run at 46 MW for for as long as five minutes
- Operates at over 5 kV DC",http://www.gvea.com/energy/bess,,,DD.09.YYYY,,N/A,Golden Valley Electric Association,Cooperative (Customer Owned),Transmission,,Utility-Owned,Golden Valley Electric Association,100,,,Saft,ABB,,,,,,,,25,Prevented >60% of power-supply related outages; Can be run at 46 MW for for as long as five minutes,35000000,,,,,,,,,,,,,,,info@gvea.com,9074521151,758 Illinois Street PO Box 71249,Fairbanks,Alaska,99707,United States,DD.49.YYYY 16:49:29,DD.56.YYYY 02:56:34,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,
Duquesne University,Ice Thermal Storage,Ice Thermal Storage,Thermal Storage,600,6.0,Operational,Electric Bill Management,Electric Energy Time Shift,Electric Supply Reserve Capacity - Non-Spinning,,,,,,,,,,40,"October 12, 1899",Pittsburgh,Pennsylvania,United States,600 Forbes Avenue,15282,"Duquesne University is a landlocked but growing university in the heart of Pittsburgh.  The Power Center, a new LEED project, was added to the central cooling plant upon completion. Additionally, the AJ Palumbo Center HVAC cooling systems were going to be replaced in the near future so additional cooling capacity was needed.  Room for an additional cooling tower was hard to come by so it was decided to use the existing cooling tower capacity that was available at night.  So an ice making chiller and 6000 tn hours of energy storage were installed to the existing cooling plant.  

The University is now very cooling diverse as it is able to cool with nighttime and or daytime grid energy using electric chillers,  or cool using absorption chillers fired with waste heat or natural gas,  or cool with energy storage made and stored off peak.  Additionally, the university has a combined heat and power generation system that, when combined with energy storage and absorption cooling opens up many demand response opportunities. The load shed results have been favorable under the Duquesne ACT 129 Demand Response Events that were issued through June 2012. This was done by reducing the electric chiller(s) operation under peak load management parameters.",http://www.duq.edu/about/sustainability/energy-operations,DD.02.YYYY,DD.08.YYYY,DD.06.YYYY,,PJM,Duquesne Light and Power,Investor Owned,Secondary Distribution,,Customer-Owned,Duquesne University,100,,,CALMAC,,,,,,,,,25,RTE 99%,,,,,,,,,,,,,,,Guy Zupo,zupo@duq.edu,412 396 5421,600 Forbes Avenue,Pittsburgh,PA,15282,United States,DD.45.YYYY 17:45:11,DD.47.YYYY 19:47:50,,TRUE,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,
Olivenhain-Hodges Storage Project,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,40000,6.0,Operational,Electric Energy Time Shift,Electric Supply Capacity,Electric Supply Reserve Capacity - Non-Spinning,,,,,,,,,,33,"September 4, 1899",Escondido,California,United States,,92033,"The Lake Hodges project is part of the San Diego County Water Authority's Emergency Storage Project, a system of reservoirs, interconnected pipelines and pumping stations designed to make water available to the San Diego region in the event of an interruption in imported water deliveries.

The project connects the city of San Diego’s Hodges Reservoir, also called Lake Hodges, to the Water Authority’s Olivenhain Reservoir via a 1.25-mile pipeline travelling 770 feet vertically. The connection provides the ability to store 20,000 acre-feet of water in Hodges Reservoir for emergency use. The connection will also allow water to be pumped back and forth between Hodges Reservoir and Olivenhain Reservoir. From Olivenhain Reservoir, water can be distributed throughout the region by the Water Authority’s delivery system.

When water is transferred downhill from Olivenhain Reservoir into Hodges Reservoir, it generates up to 40-megawatts of peak hydroelectric energy, enough power to annually sustain nearly 26,000 homes. This energy will help offset project's operating costs and support future Water Authority projects. The Lake Hodges Projects will also help keep Hodges Reservoir at a more constant level during dry seasons, capture runoff during rainy seasons and prevent spills over Hodges Dam.",http://www.sdcwa.org/lake-hodges-projects,,DD.01.YYYY,DD.09.YYYY,,CAISO,San Diego Gas and Electric,Investor Owned,,,Utility-Owned,San Diego County Water Authority,100,,,,,,"ProTrans USA, LLC",San Diego County Water Authority,,,,,25,,196000000,,,,,,,,,,,,,,Greg Ortega,gortega@sdcwa.org,760.233.3278,610 W 5th Ave,Escondido,CA,92025,United States,DD.57.YYYY 23:57:04,DD.02.YYYY 20:02:29,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
State of North Carolina - DN Tanks,Chilled Water Thermal Storage,Chilled Water Thermal Storage,Thermal Storage,2590,8.0,Operational,Electric Energy Time Shift,Grid-Connected Commercial (Reliability & Quality) ,,,,,,,,,,,36,"October 13, 1899",Raleigh,North Carolina,United States,Salsbury St. ,27601,"Pepco Energy Services (PES) provided an energy services performance contract project to the State of North Carolina, and selected DN Tanks to build a 2.7 MG (million gallons) stratified chilled water Thermal Energy Storage (TES) tank on the state capital campus in downtown Raleigh. 

The precast, prestressed, wire-wound concrete TES tank is at the heart of this significant energy savings project. Coupled with a new high efficiency packaged chilled water plant, this TES tank is capable of delivering 27,260 ton-hrs of cooling capacity. The system is the primary chilled water source for 3.5 million square feet in 20 buildings.",http://www.dntanks.com/projects/thermal-energy-storage-in-north-carolina/,DD.06.YYYY,,,,N/A,Progress Energy Carolinas,,,,Customer-Owned,The State of North Carolina,100,,,DN Tanks,,PEPCO Energy Solutions,,,,,,,50,,,,,,,,,,,,,,,,Joe Baden,joe.baden@doa.nc.gov,919-807-4096,"301 N. Wilmington St., Suite 450",Raleigh,NC,27601,United States,DD.35.YYYY 16:35:56,DD.18.YYYY 21:18:07,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,
ETT / AEP Presidio NAS Energy Storage System - NGK,Sodium-sulfur Battery,Sodium based Battery,Electro-chemical,4000,8.0,Operational,Electric Supply Capacity,Electric Supply Reserve Capacity - Non-Spinning,Grid-Connected Commercial (Reliability & Quality) ,Voltage Support,,,,,,,,,30,"September 17, 1899",Presidio,Texas,United States,,,"The Big-Old Battery (BOB) is a 4 MW sulfur sodium battery providing backup power to the town of Presidio, Texas. Presidio currently operates with an aging transmission grid and is vulnerable to outages from the Texas plains' powerful electrical storms. BOB will fix this problem and do much more. Overall, BOB provides the following benefits:

-  Due to its quick response, the battery will address voltage fluctuations and momentary outages.  
-  In the event of an outage on the radial transmission line providing power to Presidio, the battery can supply four megawatts of uninterrupted power for up to eight hours. This will also allow for a transfer of electricity sourcing from the Texas grid to that of neighboring Comisiόn Federal de Electricidad (CFE) during emergency situations. This process can often take several hours. 
- The battery will allow for maintenance on the new transmission line being built from Marfa to Presidio without loss of electric service.    

Watch ""ETT's Presidio NAS® Battery: A Story of Technology, Tenacity and Teamwork"" - http://www.youtube.com/watch?v=54_xP0NzY7M",http://www.ettexas.com/projects/docs/NaS_Battery_Overview.pdf,DD.09.YYYY,,DD.04.YYYY,,ERCOT,Electric Transmission Texas,Investor Owned,Transmission,,Utility-Owned,Electric Transmission Texas (American Electric Power),100,,,"NGK-Locke, Inc.",S&C Electric Company,S&C Electric Company,S&C Electric Company,American Electric Power,S&C Electric Company,,,,, Successfully received 2.5 million kWh during 2011,25000000,,,,,,,,,,,,,,Larry Jones,lajones@aep.com,361-881-5300,,,,,,DD.18.YYYY 23:18:47,DD.22.YYYY 21:22:41,,TRUE,,,,TRUE,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,
University of Arizona - Calmac,Ice Thermal Storage,Ice Thermal Storage,Thermal Storage,3000,6.0,Operational,Electric Bill Management,Electric Energy Time Shift,Electric Supply Reserve Capacity - Non-Spinning,,,,,,,,,,32,"September 11, 1899",Tucson,Arizona,United States,1339 E. Helen Street,85717,"Ice storage technology is both common and unique.  It is common since it does for cooling what a domestic water heater does for hot water.  As a unique cooling option, ice storage is the only air-conditioning system that utilizes plentiful nighttime produced electricity to generate and store daytime cooling. As a result, it provides the key benefit of lowering greenhouse gas emissions along with reducing the cost of cooling from on-peak electric demand.  

In utility-driven cooling applications, ice storage provides a nighttime electric load to store cooling.  In the U of A cogeneration application however, ice storage not only stores the cooling, it also provides a nighttime electric load in order to produce steam for use by the University Medical Center.  

The university placed three separate orders for energy storage tanks and they were added to two of their three existing central plants in 2004, 2006 and 2007. There are 205 tanks total at the two plants.",http://www.calmac.com/large-energy-storage-project-university-of-arizona,DD.12.YYYY,DD.09.YYYY,DD.08.YYYY,,N/A,Tucson Electric Power,Investor Owned,Secondary Distribution,Cogeneration plants at the University,Customer-Owned,University of Arizona,100,,,CALMAC,,,,,,,,,25,RTE 99%,,,,,,,,,,,,,,,Mark St. Onge,mstonge@email.arizona.edu,,The University of Arizona,Tucson,AZ,85717,United States,DD.07.YYYY 19:07:29,DD.25.YYYY 22:25:23,,TRUE,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,
Los Angeles Community College District - Calmac,Ice Thermal Storage,Ice Thermal Storage,Thermal Storage,4620,6.0,Operational,Electric Bill Management,Electric Energy Time Shift,Electric Supply Reserve Capacity - Non-Spinning,,,,,,,,,,34,"September 3, 1899",Los Angeles,California,United States,855 North Vermont Avenue,90029,"LACCD is the largest community college in the United States. It is currently undertaking the largest public sector sustainable building effort in the United States. All new buildings are being built to LEED certification requirements and existing buildings are being retrofitted for maximum efficiency, an effort which includes 44 new buildings and 2 satellite campuses. 308 tanks are spread among 7 of the community college district campuses.  These include the Southwest LA Campus, West LA Campus, East LA Campus, Pierce College Campus, Van de Kamp Campus, Mission Campus and the Vermont Campus.  The SW LA, East LA and West LA campuses are served by SCE (Southern CA Edison) while the other campuses are in the LA DWP utility district. ",http://www.green-technology.org/gcccollege-gcschools/images/LACCD_Sustainable_Building_Pgm_1.pdf,DD.02.YYYY,DD.05.YYYY,DD.07.YYYY,,CAISO,Los Angeles Department of Water and Power,Investor Owned,Secondary Distribution,,Customer-Owned,Los Angeles Community College District,100,,,CALMAC,,,,,,,,,25,RTE 99%,,,,,,,,,,,,,,,Tony Fairclough; Terry Andrews; Martin Howell,fairclar@email.laccd.edu; Tandrews@Calmac.com; Martin.howell@arup.com,213-596-0315,355 North Vermont Avenue,Los Angeles,CA,90029,United States,DD.46.YYYY 19:46:53,DD.47.YYYY 23:47:02,,TRUE,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,
William & Flora Hewlett Foundation - Calmac,Ice Thermal Storage,Ice Thermal Storage,Thermal Storage,124,9.0,Operational,Electric Bill Management,Electric Energy Time Shift,Electric Supply Reserve Capacity - Non-Spinning,,,,,,,,,,37,"August 30, 1899",Menlo Park,California,United States,2121 Sand Hill Road,94025,"Ice thermal storage tanks are installed in the parking lot structure under the building, designed to meet all of the comfort cooling loads and recharged on a daily cycle. For a unique tour of this office building go to: http://www.calmac.com/GreenBuildingTour.asp",http://www.hewlett.org/about-the-william-and-flora-hewlett-foundation/the-hewlett-foundation-building-environmental-values-at-work/energy-efficiency,DD.03.YYYY,DD.06.YYYY,DD.05.YYYY,,CAISO,Pacific Gas and Electric,Investor Owned,Secondary Distribution,,Customer-Owned,Hewlett Foundation,100,,,CALMAC,,,,,,,,,25,RTE 99%,,,,,,,,,,,,,,,Terry Andrews (Western Regional Mgr.),tandrews@calmac.com,,,,,,United States,DD.54.YYYY 19:54:31,DD.23.YYYY 00:23:30,,TRUE,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,
EPCC Thermal Storage: Valle Verde,Ice Thermal Storage,Ice Thermal Storage,Thermal Storage,930,8.0,Operational,Electric Bill Management,Electric Energy Time Shift,,,,,,,,,,,32,"September 15, 1899",El Paso,Texas,United States,919 Hunter Drive,79925,"As the fastest growing community college in Texas, El Paso Community College (EPCC) needed to meet the needs of an increasing student population and the third highest electric utility rates in the nation. The college turned to energy-efficient solutions including 89 energy storage tanks which they installed at 3 different campus locations. 

After a few years, the payback was so significant for the Valle Verde campus that the college converted the entire plant to full ice storage versus partial ice storage. This allowed the campus to be completely cooled by ice storage during peak demand, saving an additional 25 percent in utility costs or more than $145,000 dollars per year.  There are now 62 units at Valle Verde.",http://www.trane.com/commercial/Uploads/pdf/newsRoom/EL%20Paso%20Community%20College%20news%20release%20FINAL%20080910%20_3_.pdf,DD.02.YYYY,DD.10.YYYY,DD.04.YYYY,,ERCOT,El Paso Electric Company,Public Owned,,,Customer-Owned,El Paso Community College,100,,,CALMAC,,,,,,,,,25,RTE 99%,,,,,,,,,,,,,,,Richard Lobato,rlobato@epcc.edu,,9050 Viscount Boulevard,El Paso,Texas,79925,United States,DD.23.YYYY 20:23:03,DD.17.YYYY 23:17:24,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,
